CIK,Ticker,Year,Quarter,Total Revenue,Net Income,Operating Margin,EPS,Stock Price
1090872,A,2000,1,2485.0,166.0,8.61,0.37,62.53
1090872,A,2000,3,2670.0,155.0,7.87,0.34,29.42
1090872,A,2001,1,2841.0,154.0,9.82,0.34,18.48
1090872,A,2001,3,1806.0,-219.0,-18.93,-0.48,11.75
1090872,A,2002,1,1426.0,-315.0,-30.98,-0.68,21.02
1090872,A,2002,2,1457.0,-253.0,-23.93,-0.55,14.22
1090872,A,2002,3,1391.0,-228.0,-30.84,-0.49,7.85
1090872,A,2003,1,1412.0,-369.0,-18.12,-0.78,7.91
1090872,A,2003,2,1467.0,-146.0,-22.86,-0.31,11.75
1090872,A,2003,3,1502.0,-1556.0,-12.65,-3.28,13.29
1090872,A,2004,1,1643.0,71.0,4.81,0.15,19.02
1090872,A,2004,2,1831.0,104.0,6.06,0.22,17.6
1090872,A,2004,3,1885.0,100.0,5.68,0.21,12.97
1090872,A,2005,1,1658.0,103.0,5.73,0.21,13.35
1090872,A,2005,2,1688.0,95.0,4.86,0.19,13.84
1090872,A,2005,3,1688.0,104.0,5.28,0.21,19.69
1090872,A,2006,1,1336.0,2816.0,3.0,5.95,22.58
1090872,A,2006,2,1431.0,115.0,7.83,0.27,18.98
1090872,A,2006,3,1453.0,227.0,14.24,0.55,19.66
1090872,A,2007,1,1280.0,150.0,7.42,0.37,21.5
1090872,A,2007,2,1320.0,123.0,9.9,0.31,24.53
1090872,A,2007,3,1374.0,185.0,12.2,0.47,23.53
1090872,A,2008,1,1393.0,120.0,9.6,0.32,19.04
1090872,A,2008,2,1456.0,173.0,13.1,0.48,22.68
1090872,A,2008,3,1444.0,169.0,15.1,0.47,18.93
1090872,A,2009,1,1166.0,64.0,2.1,0.18,9.81
1090872,A,2009,2,1091.0,-101.0,-4.3,-0.29,12.96
1090872,A,2009,3,1057.0,-19.0,-0.09,-0.06,17.76
1090872,A,2010,1,1213.0,79.0,7.75,0.23,21.95
1090872,A,2010,2,1271.0,108.0,12.12,0.31,18.14
1090872,A,2010,3,1384.0,205.0,8.31,0.59,21.29
1090872,A,2011,1,1519.0,193.0,13.89,0.56,28.58
1090872,A,2011,2,1677.0,200.0,15.87,0.58,32.62
1090872,A,2011,3,1691.0,330.0,16.62,0.95,19.94
1090872,A,2012,1,1635.0,230.0,16.57,0.66,28.47
1090872,A,2012,2,1733.0,255.0,17.3,0.73,25.16
1090872,A,2012,3,1723.0,243.0,15.67,0.7,24.72
1090872,A,2013,1,1680.0,179.0,12.92,0.52,27.13
1090872,A,2013,2,1732.0,166.0,12.29,0.48,27.72
1090872,A,2013,3,1652.0,168.0,14.29,0.5,33.3
1090872,A,2014,1,1679.0,195.0,12.99,0.59,36.41
1090872,A,2014,2,1731.0,139.0,12.13,0.42,37.58
1090872,A,2014,3,1766.0,147.0,12.97,0.44,37.36
1090872,A,2015,1,1026.0,72.0,11.22,0.21,38.28
1090872,A,2015,2,963.0,83.0,11.12,0.25,35.63
1090872,A,2015,3,1014.0,103.0,14.22,0.31,31.8
1090872,A,2016,1,1028.0,123.0,15.08,0.37,37.01
1090872,A,2016,2,1019.0,91.0,12.85,0.28,41.43
1090872,A,2016,3,1044.0,124.0,14.0,0.38,44.09
1090872,A,2017,1,1067.0,168.0,19.31,0.52,49.76
1090872,A,2017,2,1102.0,164.0,18.24,0.51,55.95
1090872,A,2017,3,1114.0,175.0,18.03,0.55,60.56
1090872,A,2018,1,1211.0,-320.0,19.74,-0.99,63.38
1090872,A,2018,2,1206.0,205.0,17.83,0.64,58.72
1090872,A,2018,3,1203.0,236.0,18.69,0.74,67.14
1090872,A,2019,1,1284.0,504.0,19.46,1.58,76.86
1090872,A,2019,2,1238.0,182.0,17.46,0.57,71.54
1090872,A,2019,3,1274.0,191.0,17.65,0.61,73.74
1090872,A,2020,1,1357.0,197.0,15.84,0.64,69.24
1090872,A,2020,2,1238.0,101.0,8.24,0.33,85.62
1090872,A,2020,3,1261.0,199.0,18.25,0.64,97.79
1090872,A,2021,1,1548.0,288.0,21.19,0.94,123.6
1090872,A,2021,2,1525.0,216.0,18.89,0.71,143.91
1090872,A,2021,3,1586.0,264.0,21.19,0.87,153.58
1090872,A,2022,1,1674.0,283.0,22.47,0.94,129.34
1090872,A,2022,2,1607.0,274.0,22.39,0.92,116.27
1090872,A,2022,3,1718.0,329.0,23.93,1.1,119.2
1090872,A,2023,1,1756.0,352.0,24.27,1.19,136.11
1090872,A,2023,2,1717.0,302.0,22.3,1.02,118.73
1090872,A,2023,3,1672.0,111.0,7.95,0.38,110.4
1090872,A,2024,1,1658.0,348.0,23.15,1.19,144.2
1090872,A,2024,2,1573.0,308.0,23.09,1.05,128.67
1090872,A,2024,3,1578.0,282.0,21.1,0.97,147.66
1090872,A,2025,1,1681.0,318.0,22.37,1.12,116.73
6201,AAL,2005,3,5485.0,-153.0,0.71,-0.93,19.81
6201,AAL,2006,1,5344.0,-92.0,2.15,-0.49,37.71
6201,AAL,2006,2,5975.0,291.0,7.97,1.44,47.65
6201,AAL,2006,3,5847.0,15.0,4.85,0.07,41.79
6201,AAL,2007,1,5427.0,81.0,4.57,0.35,42.88
6201,AAL,2007,2,5879.0,317.0,7.94,1.28,28.54
6201,AAL,2007,3,5946.0,175.0,5.36,0.7,24.75
6201,AAL,2008,1,5697.0,-328.0,-3.28,-1.32,8.4
6201,AAL,2008,2,6179.0,-1448.0,-20.87,-5.77,2.36
6201,AAL,2008,3,6421.0,45.0,-3.36,0.17,5.68
6201,AAL,2009,1,4839.0,-375.0,-4.01,-1.35,2.39
6201,AAL,2009,2,4889.0,-390.0,-4.62,-1.39,2.29
6201,AAL,2009,3,5127.0,-359.0,-3.78,-1.26,4.43
6201,AAL,2010,1,5068.0,-505.0,-5.88,-1.52,6.93
6201,AAL,2010,2,5674.0,-11.0,3.45,-0.03,8.12
6201,AAL,2010,3,5842.0,143.0,5.85,0.43,8.72
6201,AAL,2011,1,5533.0,-436.0,-4.19,-1.31,8.21
6201,AAL,2011,2,6114.0,-286.0,-1.28,-0.85,8.4
6201,AAL,2011,3,6376.0,-162.0,0.61,-0.48,5.19
6201,AAL,2012,1,6037.0,-1660.0,-1.47,-4.95,7.16
6201,AAL,2012,2,6452.0,-241.0,2.2,-0.72,12.57
6201,AAL,2012,3,6429.0,-238.0,0.79,-0.71,9.86
6201,AAL,2013,1,6098.0,-341.0,0.85,-1.02,16.0
6201,AAL,2013,2,6449.0,220.0,7.58,0.65,15.48
6201,AAL,2013,3,6828.0,289.0,10.22,0.86,17.87
6201,AAL,2014,1,9995.0,480.0,7.3,0.66,34.5
6201,AAL,2014,2,11355.0,864.0,12.32,1.2,40.5
