CIK,Year,Quarter,Ticker,Stock Price,Total Revenue,Net Income,EPS,Operating Margin
0001326801,2012,2,META,30.95,1184.00,-157.00,-0.08,-62.75
0001326801,2012,3,META,21.56,1262.00,-59.00,-0.02,29.87
0001326801,2013,1,META,25.46,1458.00,219.00,0.09,25.57
0001326801,2013,2,META,24.76,1813.00,333.00,0.14,31.00
0001326801,2013,3,META,49.99,2016.00,425.00,0.17,36.51
0000001800,2000,2,ABT,10.55,3370.15,685.20,0.44,24.97
0000001800,2000,3,ABT,11.31,3317.90,654.42,0.42,23.66
0000001800,2001,1,ABT,11.32,3559.88,-223.61,-0.14,-4.60
0000001800,2001,2,ABT,11.56,4099.12,529.05,0.34,14.60
0000001800,2001,3,ABT,12.54,4181.19,631.40,0.41,17.81
0000001800,2002,1,ABT,12.83,4189.29,854.28,0.55,24.94
0000001800,2002,2,ABT,9.22,4314.89,592.27,0.38,15.83
0000001800,2002,3,ABT,9.96,4341.24,720.05,0.46,21.03
0000001800,2003,1,ABT,9.38,4580.46,800.98,0.51,21.40
0000001800,2003,2,ABT,10.99,4723.64,246.64,0.16,6.89
0000001800,2003,3,ABT,10.74,4845.88,761.22,0.49,18.80
0000001800,2004,1,ABT,10.49,5216.05,822.91,0.53,19.79
0000001800,2004,2,ABT,12.03,4703.05,634.26,0.41,16.93
0000001800,2004,3,ABT,12.58,4681.67,804.08,0.52,21.85
0000001800,2005,1,ABT,14.01,5382.68,837.89,0.54,21.11
0000001800,2005,2,ABT,14.81,5523.80,877.05,0.56,19.80
0000001800,2005,3,ABT,12.89,5384.00,680.71,0.44,15.43
0000001800,2006,1,ABT,13.08,5183.46,864.88,0.57,20.52
0000001800,2006,2,ABT,13.52,5501.12,612.24,0.40,9.87
0000001800,2006,3,ABT,15.16,5573.77,715.84,0.47,12.37
0000001800,2007,1,ABT,17.63,5290.28,697.54,0.45,16.60
0000001800,2007,2,ABT,17.02,6370.62,988.74,0.64,18.62
0000001800,2007,3,ABT,17.14,6376.71,717.01,0.46,14.53
0000001800,2008,1,ABT,17.84,6765.60,937.87,0.61,16.96
0000001800,2008,2,ABT,17.25,7314.02,1322.01,0.86,19.24
0000001800,2008,3,ABT,18.87,7497.66,1084.61,0.70,18.62
0000001800,2009,1,ABT,15.86,6718.37,1438.64,0.93,15.80
0000001800,2009,2,ABT,15.78,7494.88,1288.11,0.83,22.30
0000001800,2009,3,ABT,16.74,7761.34,1480.37,0.95,21.13
0000001800,2010,1,ABT,18.10,7698.35,1003.02,0.65,19.10
0000001800,2010,2,ABT,16.21,8826.01,1291.65,0.83,18.19
0000001800,2010,3,ABT,18.27,8674.51,890.66,0.58,13.60
0000001800,2011,1,ABT,17.46,9040.85,863.82,0.56,14.38
0000001800,2011,2,ABT,18.91,9616.29,1942.78,1.24,18.45
0000001800,2011,3,ABT,18.54,9816.67,303.18,0.19,6.06
0000001800,2012,1,ABT,22.62,9456.63,1242.12,0.79,16.67
0000001800,2012,2,ABT,24.00,9807.10,1724.61,1.09,21.46
0000001800,2012,3,ABT,25.72,9773.24,1942.81,1.22,20.37
0000001800,2013,1,ABT,27.93,5377.90,544.66,0.35,11.44
0000001800,2013,2,ABT,27.69,5446.03,476.06,0.30,11.53
0000001800,2013,3,ABT,26.45,5369.14,965.73,0.62,11.74
0000001800,2014,1,ABT,31.00,5244.00,375.00,0.24,8.60
0000001800,2014,2,ABT,33.12,5551.00,466.00,0.30,13.71
0000001800,2014,3,ABT,33.86,5104.00,538.00,0.36,14.32
0000001800,2015,1,ABT,38.12,4897.00,2292.00,1.52,12.46
0000001800,2015,2,ABT,40.58,5170.00,784.00,0.52,14.10
0000001800,2015,3,ABT,33.42,5150.00,580.00,0.39,13.83
0000001800,2016,1,ABT,35.18,4885.00,316.00,0.21,10.73
0000001800,2016,2,ABT,33.26,5333.00,615.00,0.41,15.31
0000001800,2016,3,ABT,36.00,5302.00,-329.00,-0.22,16.91
0000001800,2017,1,ABT,38.29,6335.00,419.00,0.24,-3.19
0000001800,2017,2,ABT,42.17,6637.00,283.00,0.16,6.43
0000001800,2017,3,ABT,46.55,6829.00,603.00,0.34,11.86
0000001800,2018,1,ABT,52.78,7390.00,418.00,0.24,8.23
0000001800,2018,2,ABT,53.98,7767.00,733.00,0.42,11.35
0000001800,2018,3,ABT,65.22,7656.00,563.00,0.32,13.00
0000001800,2019,1,ABT,71.69,7535.00,672.00,0.38,9.81
0000001800,2019,2,ABT,75.73,7979.00,1006.00,0.57,15.12
0000001800,2019,3,ABT,75.63,8076.00,960.00,0.54,14.82
0000001800,2020,1,ABT,71.92,7726.00,564.00,0.32,9.82
0000001800,2020,2,ABT,83.68,7328.00,537.00,0.30,9.17
0000001800,2020,3,ABT,99.99,8853.00,1232.00,0.69,16.88
0000001800,2021,1,ABT,110.92,10456.00,1793.00,1.00,20.16
0000001800,2021,2,ABT,107.69,10223.00,1189.00,0.67,13.61
0000001800,2021,3,ABT,110.15,10928.00,2100.00,1.18,23.30
0000001800,2022,1,ABT,111.18,11895.00,2447.00,1.38,24.48
0000001800,2022,2,ABT,102.47,11257.00,2018.00,1.15,21.10
0000001800,2022,3,ABT,91.66,10410.00,1435.00,0.82,17.01
0000001800,2023,1,ABT,96.81,9747.00,1318.00,0.75,15.47
0000001800,2023,2,ABT,104.75,9978.00,1375.00,0.79,15.45
0000001800,2023,3,ABT,93.51,10143.00,1436.00,0.82,16.23
0000001800,2024,1,ABT,110.88,9964.00,1225.00,0.70,13.91
0000001800,2024,2,ABT,101.87,10377.00,1302.00,0.74,16.08
0000001800,2024,3,ABT,112.36,10635.00,1646.00,0.94,17.48
0000002488,2001,1,AMD,26.54,1188.75,124.84,0.40,14.05
0000002488,2001,2,AMD,28.90,985.26,17.35,0.05,2.20
0000002488,2001,3,AMD,8.15,765.87,-186.93,-0.54,-29.96
0000002488,2002,1,AMD,14.71,902.07,-9.16,-0.03,-1.50
0000002488,2002,2,AMD,9.72,600.30,-184.94,-0.54,-49.44
0000002488,2002,3,AMD,5.34,508.23,-254.17,-0.74,-64.00
0000002488,2003,1,AMD,6.18,714.56,-146.36,-0.42,-17.56
0000002488,2003,2,AMD,6.41,645.26,-140.10,-0.40,-19.14
0000002488,2003,3,AMD,11.11,954.00,-31.23,-0.09,-3.17
0000002488,2004,1,AMD,16.23,1236.43,45.09,0.13,4.96
0000002488,2004,2,AMD,15.90,1261.84,32.18,0.09,5.74
0000002488,2004,3,AMD,13.00,1239.46,43.85,0.12,5.52
0000002488,2005,1,AMD,16.12,1226.63,-17.42,-0.04,-3.72
0000002488,2005,2,AMD,17.34,1259.92,11.32,0.03,-0.57
0000002488,2005,3,AMD,25.20,1522.76,76.00,0.19,5.17
0000002488,2006,1,AMD,33.16,1332.16,184.52,0.40,19.44
0000002488,2006,2,AMD,24.42,1216.37,88.85,0.18,8.40
0000002488,2006,3,AMD,24.85,1327.62,134.46,0.28,8.97
0000002488,2007,1,AMD,13.06,1233.00,-611.00,-1.11,-40.89
0000002488,2007,2,AMD,14.30,1378.00,-600.00,-1.09,-33.17
0000002488,2007,3,AMD,13.20,1632.00,-396.00,-0.71,-13.84
0000002488,2008,1,AMD,5.89,1505.00,-358.00,-0.59,-17.57
0000002488,2008,2,AMD,5.83,1349.00,-1189.00,-1.96,-10.59
0000002488,2008,3,AMD,5.25,1776.00,-127.00,-0.21,7.37
0000002488,2009,1,AMD,3.05,1177.00,-416.00,-0.66,-25.30
0000002488,2009,2,AMD,3.87,1184.00,-330.00,-0.49,-21.01
0000002488,2009,3,AMD,5.66,1396.00,-128.00,-0.18,-5.52
0000002488,2010,1,AMD,9.27,1574.00,257.00,0.36,11.57
0000002488,2010,2,AMD,7.32,1653.00,-43.00,-0.06,7.57
0000002488,2010,3,AMD,7.11,1618.00,-118.00,-0.17,7.91
0000002488,2011,1,AMD,8.60,1613.00,510.00,0.71,3.35
0000002488,2011,2,AMD,6.99,1574.00,61.00,0.08,6.67
0000002488,2011,3,AMD,5.08,1690.00,97.00,0.13,8.16
0000002488,2012,1,AMD,8.02,1585.00,-590.00,-0.80,-36.58
0000002488,2012,2,AMD,5.73,1413.00,37.00,0.05,5.45
0000002488,2012,3,AMD,3.37,1269.00,-157.00,-0.21,-10.33
0000002488,2013,1,AMD,2.55,1088.00,-146.00,-0.19,-9.01
0000002488,2013,2,AMD,4.08,1161.00,-74.00,-0.10,-2.50
0000002488,2013,3,AMD,3.81,1461.00,48.00,0.06,6.50
0000002488,2014,1,AMD,4.01,1397.00,-20.00,-0.03,3.51
0000002488,2014,2,AMD,4.19,1441.00,-36.00,-0.05,4.38
0000002488,2014,3,AMD,3.41,1429.00,17.00,0.02,4.41
0000002488,2015,1,AMD,2.68,1030.00,-180.00,-0.23,-13.30
0000002488,2015,2,AMD,2.40,942.00,-181.00,-0.23,-14.56
0000002488,2015,3,AMD,1.72,1061.00,-197.00,-0.25,-14.90
0000002488,2016,1,AMD,2.85,832.00,-109.00,-0.14,-8.17
0000002488,2016,2,AMD,5.14,1027.00,69.00,0.09,-0.78
0000002488,2016,3,AMD,6.91,1307.00,-398.00,-0.50,-22.40
0000002488,2017,1,AMD,14.55,984.00,-73.00,-0.08,-2.95
0000002488,2017,2,AMD,12.48,1222.00,-16.00,-0.02,2.05
0000002488,2017,3,AMD,12.75,1643.00,71.00,0.07,7.67
0000002488,2018,1,AMD,10.05,1647.00,81.00,0.08,7.29
0000002488,2018,2,AMD,14.99,1756.00,116.00,0.12,8.71
0000002488,2018,3,AMD,30.89,1653.00,102.00,0.10,9.08
0000002488,2019,1,AMD,25.52,1272.00,16.00,0.01,2.99
0000002488,2019,2,AMD,30.37,1531.00,35.00,0.03,3.85
0000002488,2019,3,AMD,28.99,1801.00,120.00,0.11,10.33
0000002488,2020,1,AMD,45.48,1786.00,162.00,0.14,9.92
0000002488,2020,2,AMD,52.61,1932.00,157.00,0.13,8.96
0000002488,2020,3,AMD,81.99,2801.00,390.00,0.33,16.03
0000002488,2021,1,AMD,78.50,3445.00,555.00,0.46,19.21
0000002488,2021,2,AMD,93.93,3850.00,710.00,0.58,21.56
0000002488,2021,3,AMD,102.90,4313.00,923.00,0.76,21.97
0000002488,2022,1,AMD,109.34,5887.00,786.00,0.56,16.14
0000002488,2022,2,AMD,76.47,6550.00,447.00,0.28,8.03
0000002488,2022,3,AMD,63.36,5565.00,66.00,0.04,-1.15
0000002488,2023,1,AMD,98.01,5353.00,-139.00,-0.09,-2.71
0000002488,2023,2,AMD,113.91,5359.00,27.00,0.02,-0.37
0000002488,2023,3,AMD,102.82,5800.00,299.00,0.18,3.86
