CIK,Year,Quarter,Total Revenue,Net Income,EPS,Operating Margin
0001326801,2012,2,1184.00,-157.00,-0.08,-62.75
0001326801,2012,3,1262.00,-59.00,-0.02,29.87
0001326801,2013,1,1458.00,219.00,0.09,25.57
0001326801,2013,2,1813.00,333.00,0.14,31.00
0001326801,2013,3,2016.00,425.00,0.17,36.51
0000001800,2000,2,3370.15,685.20,0.44,24.97
0000001800,2000,3,3317.90,654.42,0.42,23.66
0000001800,2001,1,3559.88,-223.61,-0.14,-4.60
0000001800,2001,2,4099.12,529.05,0.34,14.60
0000001800,2001,3,4181.19,631.40,0.41,17.81
0000001800,2002,1,4189.29,854.28,0.55,24.94
0000001800,2002,2,4314.89,592.27,0.38,15.83
0000001800,2002,3,4341.24,720.05,0.46,21.03
0000001800,2003,1,4580.46,800.98,0.51,21.40
0000001800,2003,2,4723.64,246.64,0.16,6.89
0000001800,2003,3,4845.88,761.22,0.49,18.80
0000001800,2004,1,5216.05,822.91,0.53,19.79
0000001800,2004,2,4703.05,634.26,0.41,16.93
0000001800,2004,3,4681.67,804.08,0.52,21.85
0000001800,2005,1,5382.68,837.89,0.54,21.11
0000001800,2005,2,5523.80,877.05,0.56,19.80
0000001800,2005,3,5384.00,680.71,0.44,15.43
0000001800,2006,1,5183.46,864.88,0.57,20.52
0000001800,2006,2,5501.12,612.24,0.40,9.87
0000001800,2006,3,5573.77,715.84,0.47,12.37
0000001800,2007,1,5290.28,697.54,0.45,16.60
0000001800,2007,2,6370.62,988.74,0.64,18.62
0000001800,2007,3,6376.71,717.01,0.46,14.53
0000001800,2008,1,6765.60,937.87,0.61,16.96
0000001800,2008,2,7314.02,1322.01,0.86,19.24
0000001800,2008,3,7497.66,1084.61,0.70,18.62
0000001800,2009,1,6718.37,1438.64,0.93,15.80
0000001800,2009,2,7494.88,1288.11,0.83,22.30
0000001800,2009,3,7761.34,1480.37,0.95,21.13
0000001800,2010,1,7698.35,1003.02,0.65,19.10
0000001800,2010,2,8826.01,1291.65,0.83,18.19
0000001800,2010,3,8674.51,890.66,0.58,13.60
0000001800,2011,1,9040.85,863.82,0.56,14.38
0000001800,2011,2,9616.29,1942.78,1.24,18.45
0000001800,2011,3,9816.67,303.18,0.19,6.06
0000001800,2012,1,9456.63,1242.12,0.79,16.67
0000001800,2012,2,9807.10,1724.61,1.09,21.46
0000001800,2012,3,9773.24,1942.81,1.22,20.37
0000001800,2013,1,5377.90,544.66,0.35,11.44
0000001800,2013,2,5446.03,476.06,0.30,11.53
0000001800,2013,3,5369.14,965.73,0.62,11.74
0000001800,2014,1,5244.00,375.00,0.24,8.60
0000001800,2014,2,5551.00,466.00,0.30,13.71
0000001800,2014,3,5104.00,538.00,0.36,14.32
0000001800,2015,1,4897.00,2292.00,1.52,12.46
0000001800,2015,2,5170.00,784.00,0.52,14.10
0000001800,2015,3,5150.00,580.00,0.39,13.83
0000001800,2016,1,4885.00,316.00,0.21,10.73
0000001800,2016,2,5333.00,615.00,0.41,15.31
0000001800,2016,3,5302.00,-329.00,-0.22,16.91
0000001800,2017,1,6335.00,419.00,0.24,-3.19
0000001800,2017,2,6637.00,283.00,0.16,6.43
0000001800,2017,3,6829.00,603.00,0.34,11.86
0000001800,2018,1,7390.00,418.00,0.24,8.23
0000001800,2018,2,7767.00,733.00,0.42,11.35
0000001800,2018,3,7656.00,563.00,0.32,13.00
0000001800,2019,1,7535.00,672.00,0.38,9.81
0000001800,2019,2,7979.00,1006.00,0.57,15.12
0000001800,2019,3,8076.00,960.00,0.54,14.82
0000001800,2020,1,7726.00,564.00,0.32,9.82
0000001800,2020,2,7328.00,537.00,0.30,9.17
0000001800,2020,3,8853.00,1232.00,0.69,16.88
0000001800,2021,1,10456.00,1793.00,1.00,20.16
0000001800,2021,2,10223.00,1189.00,0.67,13.61
0000001800,2021,3,10928.00,2100.00,1.18,23.30
0000001800,2022,1,11895.00,2447.00,1.38,24.48
0000001800,2022,2,11257.00,2018.00,1.15,21.10
0000001800,2022,3,10410.00,1435.00,0.82,17.01
0000001800,2023,1,9747.00,1318.00,0.75,15.47
0000001800,2023,2,9978.00,1375.00,0.79,15.45
0000001800,2023,3,10143.00,1436.00,0.82,16.23
0000001800,2024,1,9964.00,1225.00,0.70,13.91
0000001800,2024,2,10377.00,1302.00,0.74,16.08
0000001800,2024,3,10635.00,1646.00,0.94,17.48
0000002488,2001,1,1188.75,124.84,0.40,14.05
0000002488,2001,2,985.26,17.35,0.05,2.20
0000002488,2001,3,765.87,-186.93,-0.54,-29.96
0000002488,2002,1,902.07,-9.16,-0.03,-1.50
0000002488,2002,2,600.30,-184.94,-0.54,-49.44
0000002488,2002,3,508.23,-254.17,-0.74,-64.00
0000002488,2003,1,714.56,-146.36,-0.42,-17.56
0000002488,2003,2,645.26,-140.10,-0.40,-19.14
0000002488,2003,3,954.00,-31.23,-0.09,-3.17
0000002488,2004,1,1236.43,45.09,0.13,4.96
0000002488,2004,2,1261.84,32.18,0.09,5.74
0000002488,2004,3,1239.46,43.85,0.12,5.52
0000002488,2005,1,1226.63,-17.42,-0.04,-3.72
