CIK,Year,Quarter,Ticker,Stock Price,Total Revenue,Net Income,EPS,Operating Margin
1090872,2000,1,A,62.53,2485.0,166.0,0.37,8.61
1090872,2000,3,A,29.42,2670.0,155.0,0.34,7.87
1090872,2001,1,A,18.48,2841.0,154.0,0.34,9.82
1090872,2001,3,A,11.75,1806.0,-219.0,-0.48,-18.93
1090872,2002,1,A,21.02,1426.0,-315.0,-0.68,-30.98
1090872,2002,2,A,14.22,1457.0,-253.0,-0.55,-23.93
1090872,2002,3,A,7.85,1391.0,-228.0,-0.49,-30.84
1090872,2003,1,A,7.91,1412.0,-369.0,-0.78,-18.12
1090872,2003,2,A,11.75,1467.0,-146.0,-0.31,-22.86
1090872,2003,3,A,13.29,1502.0,-1556.0,-3.28,-12.65
1090872,2004,1,A,19.02,1643.0,71.0,0.15,4.81
1090872,2004,2,A,17.6,1831.0,104.0,0.22,6.06
1090872,2004,3,A,12.97,1885.0,100.0,0.21,5.68
1090872,2005,1,A,13.35,1658.0,103.0,0.21,5.73
1090872,2005,2,A,13.84,1688.0,95.0,0.19,4.86
1090872,2005,3,A,19.69,1688.0,104.0,0.21,5.28
1090872,2006,1,A,22.58,1336.0,2816.0,5.95,3.0
1090872,2006,2,A,18.98,1431.0,115.0,0.27,7.83
1090872,2006,3,A,19.66,1453.0,227.0,0.55,14.24
1090872,2007,1,A,21.5,1280.0,150.0,0.37,7.42
1090872,2007,2,A,24.53,1320.0,123.0,0.31,9.9
1090872,2007,3,A,23.53,1374.0,185.0,0.47,12.2
1090872,2008,1,A,19.04,1393.0,120.0,0.32,9.6
1090872,2008,2,A,22.68,1456.0,173.0,0.48,13.1
1090872,2008,3,A,18.93,1444.0,169.0,0.47,15.1
1090872,2009,1,A,9.81,1166.0,64.0,0.18,2.1
1090872,2009,2,A,12.96,1091.0,-101.0,-0.29,-4.3
1090872,2009,3,A,17.76,1057.0,-19.0,-0.06,-0.09
1090872,2010,1,A,21.95,1213.0,79.0,0.23,7.75
1090872,2010,2,A,18.14,1271.0,108.0,0.31,12.12
1090872,2010,3,A,21.29,1384.0,205.0,0.59,8.31
1090872,2011,1,A,28.58,1519.0,193.0,0.56,13.89
1090872,2011,2,A,32.62,1677.0,200.0,0.58,15.87
1090872,2011,3,A,19.94,1691.0,330.0,0.95,16.62
1090872,2012,1,A,28.47,1635.0,230.0,0.66,16.57
1090872,2012,2,A,25.16,1733.0,255.0,0.73,17.3
1090872,2012,3,A,24.72,1723.0,243.0,0.7,15.67
1090872,2013,1,A,27.13,1680.0,179.0,0.52,12.92
1090872,2013,2,A,27.72,1732.0,166.0,0.48,12.29
1090872,2013,3,A,33.3,1652.0,168.0,0.5,14.29
